ItemID,Duration,PostalCode,BuyItNow,StartPrice,HasReservePrice,StartTime,EndTime,SellerId,SellerAboutMePage,SellerFeedbackScore,SellerRegistrationDate,BidCount,BidIncrement,ClosePrice
3.30193E+11,7,2885,0,4.99,FALSE,11/26/2007 18:03,12/03/2007 18:03,highenddeals4u,FALSE,450,07/08/2006 18:47,4,0.5,8.5
1.30178E+11,7,10002,48.95,36.98,FALSE,11/26/2007 18:05,12/03/2007 18:05,montgomerystationery,TRUE,25987,10/22/2001 15:23,1,1,36.98
1.90178E+11,7,48640,0,9.99,FALSE,11/26/2007 18:23,12/03/2007 18:23,lightnin48640,FALSE,965,3/23/1999 8:14,9,1,33.5
1.80185E+11,7,55343,0,2,FALSE,11/26/2007 18:33,12/03/2007 18:33,greenwood_drive,FALSE,83,2/19/2001 16:49,3,0.25,2.5
3.60001E+11,3,2865,0,6.99,FALSE,11/30/2007 18:34,12/03/2007 18:34,soxfanbob,FALSE,4308,10/13/1997 14:26,0,0,6.99
1.30178E+11,7,10002,68.95,49.95,FALSE,11/26/2007 19:15,12/03/2007 19:15,montgomerystationery,TRUE,25987,10/22/2001 15:23,1,1,49.95
1.30178E+11,7,10002,22.98,16.99,FALSE,11/26/2007 19:15,12/03/2007 19:15,montgomerystationery,TRUE,25987,10/22/2001 15:23,1,0.5,16.99
1.20189E+11,7,2809,0,3,FALSE,11/26/2007 20:50,12/03/2007 20:50,greek-revivals,FALSE,2516,8/22/2002 21:30,1,0.25,3
2.7019E+11,10,2895,0,9.99,FALSE,11/23/2007 21:01,12/03/2007 21:01,larryc3413,FALSE,4824,04/01/2005 21:25,11,1,43
1.20189E+11,7,2809,0,3,FALSE,11/26/2007 21:13,12/03/2007 21:13,greek-revivals,FALSE,2516,8/22/2002 21:30,1,0.25,3
1.20189E+11,7,2809,0,3,FALSE,11/26/2007 21:19,12/03/2007 21:19,greek-revivals,FALSE,2516,8/22/2002 21:30,1,0.25,3
2.60187E+11,7,48104,0,10,FALSE,11/26/2007 21:36,12/03/2007 21:36,baixosanta,FALSE,156,7/29/2006 3:20,1,0.5,10
3.30192E+11,10,76108,30,9.95,FALSE,11/23/2007 21:39,12/03/2007 21:39,1shooter,FALSE,439,10/30/1998 23:51,6,0.5,21.55
1.2019E+11,5,53563,0,0.99,FALSE,11/28/2007 22:07,12/03/2007 22:07,cardtrader29,TRUE,874,5/14/1999 17:54,2,0.25,2.25
3.30193E+11,7,2885,0,5.99,FALSE,11/26/2007 22:07,12/03/2007 22:07,highenddeals4u,FALSE,450,07/08/2006 18:47,5,0.5,12.5
1.30177E+11,10,,34.99,24.99,FALSE,11/23/2007 22:20,12/03/2007 22:20,codybrix,FALSE,927,06/09/2003 00:29,1,0.5,24.99
2.70192E+11,7,2895,0,21.99,FALSE,11/26/2007 22:27,12/03/2007 22:27,larryc3413,FALSE,4824,04/01/2005 21:25,0,0,21.99
2.80179E+11,5,80027,0,9.99,FALSE,11/28/2007 22:52,12/03/2007 22:52,saxstar21,FALSE,1409,4/14/2004 17:16,4,0.5,12.52
2.70192E+11,7,2895,0,19.99,FALSE,11/26/2007 22:53,12/03/2007 22:53,larryc3413,FALSE,4824,04/01/2005 21:25,0,0,19.99
3.20188E+11,7,15024,0,15,FALSE,11/26/2007 23:26,12/03/2007 23:26,jdtca,FALSE,185,03/09/2002 18:24,1,0.5,15
2.70192E+11,7,2895,0,9.99,FALSE,11/26/2007 23:39,12/03/2007 23:39,larryc3413,FALSE,4824,04/01/2005 21:25,1,0.5,9.99
1.60184E+11,7,95131,0,9.99,FALSE,11/26/2007 23:45,12/03/2007 23:45,pattenkat,FALSE,326,5/31/2002 20:38,1,0.5,9.99
2.50191E+11,10,,0,69.99,FALSE,11/23/2007 23:45,12/03/2007 19:57,glenspardello,FALSE,17310,11/26/2002 22:56,0,0,69.99
3.00177E+11,7,60646,14.99,12.99,FALSE,11/26/2007 23:47,12/03/2007 23:47,ameniti,FALSE,4076,6/17/1999 3:31,1,0.5,12.99
2.00178E+11,7,33175,0,19.95,FALSE,11/26/2007 23:52,12/03/2007 23:52,haban500,FALSE,513,02/10/2006 19:48,1,0.5,19.95
2.30197E+11,7,84047,0,0.99,FALSE,11/27/2007 0:06,12/04/2007 00:06,citypowersellers,FALSE,754,11/12/1999 19:33,14,1,39
2.30197E+11,7,84047,0,0.99,FALSE,11/27/2007 0:06,12/04/2007 00:06,citypowersellers,FALSE,754,11/12/1999 19:33,6,0.5,21.49
1.40184E+11,7,2908,0,22.99,FALSE,11/27/2007 0:44,12/04/2007 00:39,jrsr1492,FALSE,348,03/11/2003 20:27,0,0,22.99
3.10003E+11,5,32810,0,4.75,FALSE,11/29/2007 1:12,12/04/2007 01:12,imprezzed,FALSE,1318,6/14/2000 22:08,3,0.5,5.76
2.20177E+11,7,37148,0,0.99,FALSE,11/27/2007 1:13,12/04/2007 01:13,gramsto7,FALSE,904,01/05/2004 02:20,8,0.5,20.5
